Question #,Question Prompt,Answer Choices,Correct Answer Choice
5.2,Which of the following receptors is used by immune cells to present antigens to other immune cells? Select the best answer.,"1. Major histocompatibility complex (MHC) I 
2. Major histocompatibility complex (MHC) II","2- MHC II
"
5.3,Which of the following receptors is used to present fragments/peptides derived from intracellular proteins produced within a cell? Select the best answer.,"1. Major histocompatibility complex (MHC) I 
2. Major histocompatibility complex (MHC) II","1- MHC I
"
5.4,Which of the following receptors is used to present fragments derived from extracellular proteins that were brought into a cell? Select the best answer.,"1. Major histocompatibility complex (MHC) I 
2. Major histocompatibility complex (MHC) II","2- MHC II
"
5.5,Which of the following statements is true for T cell receptors (TCRs)? Select all that apply.,"1. Each T cell produces one unique TCR. 
2. TCRs alone can bind to a free antigen. 
3. TCRs require a co-receptor to bind to a free antigen. 
4. TCRs require a co-receptor to bind to antigen presented on MHC receptors.","1- Each T cell produces one unique TCR.; 4- Each T cell produces one unique TCR.
"
5.6,Which of the following statements is true for antibody receptors and/or antibodies? Select all that apply.,"1. Each B cell produces a unique antibody receptor. 
2. Antibody receptors can bind to a free antigen. 
3. Antibody receptors require a co-receptor to bind to free antigen. 
4. Secreted antibodies lack a transmembrane domain (compared to antibody receptors).","1- Each B cell produces a unique antibody receptor.; 2- Antibody receptors can bind to a free antigen.; 4- Secreted antibodies lack a transmembrane domain (compared to antibody receptors).
"
6.1,Which of the following statements regarding the adaptive immune response are true? Select all that apply.,"1. Innate immune cells can help activate adaptive immune cells. 
2. Binding specifically to an antigen immediately activates T and B cells. 
3. Activation triggers adaptive immune cells to start the cell cycle. 
4. Activated adaptive immune cells differentiate into effector cells and memory cells.","1- Innate immune cells can help activate adaptive immune cells.; 3- Activation triggers adaptive immune cells to start the cell cycle.; 4- Activated adaptive immune cells differentiate into effector cells and memory cells.
"
6.2,Which of the following interactions activates a killer T cell? Select the best answer.,"1. binding to antibody receptor on another cell 
2. binding to free antigen 
3. binding to MHC I receptor alone on another cell 
4. binding to antigen presented by MHC I receptor on another cell binding to MHC II receptor alone on another cell 
5. binding to antigen presented by MHC II receptor on another cell binding to TCR alone on another cell 
6. binding to TCR and CD4 co-receptor on another cell 
7. binding to TCR and CD8 co-receptor on another cell","4- binding to antigen presented by MHC I receptor on another cell
"
6.3,Which of the following interactions activates a helper T cell? Select the best answer.,"1. binding to antibody receptor on another cell 
2. binding to free antigen 
3. binding to MHC I receptor alone on another cell 
4. binding to antigen presented by MHC I receptor on another cell 
5. binding to MHC II receptor alone on another cell 
6. binding to antigen presented by MHC II receptor on another cell binding to TCR alone on another cell 
7. binding to TCR and CD4 co-receptor on another cell 8. binding to TCR and CD8 co-receptor on another cell","6- binding to antigen presented by MHC II receptor on another cell
"
6.4,Which of the following interactions activate a B cell? Select all that apply.,"1. binding to antibody receptor on another cell 
2. binding to free antigen 
3. binding to MHC I receptor alone on another cell 
4. binding to antigen presented by MHC I receptor on another cell binding to MHC II receptor alone on another cell 
5. binding to antigen presented by MHC II receptor on another cell binding to TCR alone on another cell 
6. binding to TCR and CD4 co-receptor 
7. binding to TCR and CD8 co-receptor","2- binding to free antigen; 8- binding to TCR and CD4 co-receptor on another cell
"
7.1,Which of the following describes a primary adaptive immune response? Select the best answer.,"1. the production of antibodies in the first day of exposure to a pathogen 
2. the immune response caused by one antigen associated with a pathogen 
3. the immune response caused by first exposure of B or T cells to an antigen 
4. the immune response caused by first exposure of memory B cells to an antigen","3- the immune response caused by first exposure of B or T cells to an antigen
"
8.1,Which of the following are features of T cell receptors (TCRs) but NOT antibody receptors? Select the best answer.,"
Choice 1 of 4:are heterodimers

Choice 2 of 4:bind specifically to an antigen

Choice 3 of 4:have two antigen binding sites per receptor

Choice 4 of 4:undergo VDJ recombination","1- are heterodimers
"
8.2,"In a population of mature B cells, which of the following genes do you expect to contain distinct (different) DNA sequences? Select all that apply.","Choice 1 of 4:alpha chain gene
Choice 2 of 4:beta chain gene
Choice 3 of 4:light chain gene
Choice 4 of 4:heavy chain gene","3- light chain gene
4- heavy chain gene
"
8.3,Which cells of the body undergo VDJ recombination? Select all that apply.,"Choice 1 of 5:B cells
Choice 2 of 5:helper T cells
Choice 3 of 5:killer T cells
Choice 4 of 5:phagocytes
Choice 5 of 5:non-immune somatic cells","1- B cells;
2- helper T cells; 3- killer T cells"
8.6,"In addition to VDJ recombination, which of the following mechanisms contribute to TCR and antibody receptor diversity? Select the best answer.","
Choice 1 of 4:junctional imprecision

Choice 2 of 4:mitotic recombination

Choice 3 of 4:homologous recombination between chromosomes

Choice 4 of 4:nondisjunction","1- junctional imprecision
"
